Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides QC_Shew_16_01	Razor + unique peptides QC_Shew_16_01	Unique peptides QC_Shew_16_01	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage QC_Shew_16_01 [%]	Intensity	Intensity QC_Shew_16_01	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
SO_0419	SO_0419	2	2	2	SO_0419	1	2	2	2	2	2	2	8.2	8.2	8.2	31.755	293	293	0	56.154	8.2	8578900	8578900	3				95	634;1166	True;True	667;1221	1045;1850;1851	1925;3419;3420	1925;3420			-1
SO_0421	SO_0421	2	2	2	SO_0421	1	2	2	2	2	2	2	8.8	8.8	8.8	20.427	181	181	0	12.414	8.8	2635200	2635200	4				96	123;1306	True;True	127;1365	170;2070;2071	276;3808;3809;3810	276;3810			-1
SO_0423	SO_0423	1	1	1	SO_0423	1	1	1	1	1	1	1	3.6	3.6	3.6	28.26	250	250	0	7.8825	3.6	604400	604400	1				97	977	True	1021	1560	2946	2946			-1
SO_0424	SO_0424	5	5	5	SO_0424	1	5	5	5	5	5	5	4.7	4.7	4.7	99.386	888	888	0	35.186	4.7	34870000	34870000	15				98	198;332;372;489;1347	True;True;True;True;True	205;348;390;515;1407	292;509;510;598;818;819;820;821;822;823;824;2129	529;972;973;974;975;1178;1179;1515;1516;1517;1518;1519;1520;1521;3915	529;974;1178;1519;3915			-1
SO_0425	SO_0425	3	3	3	SO_0425	1	3	3	3	3	3	3	6.1	6.1	6.1	69.398	677	677	0	35.568	6.1	5332200	5332200	7				99	236;472;1361	True;True;True	244;497;1421	335;793;2158;2159	608;609;1462;1463;3967;3968;3969	608;1462;3967			-1
SO_0426	SO_0426	5	5	5	SO_0426	1	5	5	5	5	5	5	18.7	18.7	18.7	50.536	475	475	0	54.701	18.7	46474000	46474000	30				100	172;345;663;1209;1212	True;True;True;True;True	177;362;697;1266;1269	244;245;530;531;532;533;534;535;536;537;538;1084;1085;1911;1912;1915	383;384;385;386;387;388;389;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;2029;2030;2031;3528;3529;3541	389;1016;2029;3529;3541			-1
SO_0429	SO_0429	2	2	2	SO_0429	1	2	2	2	2	2	2	2.9	2.9	2.9	76.197	680	680	0	15.822	2.9	1391100	1391100	1				101	173;542	True;True	178;569	246;907	390;1675	390;1675			-1
SO_0432	SO_0432	10	10	10	SO_0432	1	10	10	10	10	10	10	15.3	15.3	15.3	93.392	865	865	0	128.45	15.3	125580000	125580000	55				102	24;61;268;289;299;621;704;813;1095;1232	True;True;True;True;True;True;True;True;True;True	24;61;277;303;304;314;652;653;739;851;1147;1289	33;34;88;385;386;387;420;421;422;436;437;1024;1025;1026;1027;1140;1301;1752;1952	59;60;61;62;63;153;698;699;700;701;702;703;704;705;706;707;708;759;760;761;793;794;795;796;797;798;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;2106;2345;3253;3254;3255;3619	63;153;700;759;795;1886;2106;2345;3253;3619	9;10	257;540	-1
SO_0435	SO_0435	1	1	1	SO_0435	1	1	1	1	1	1	1	8.2	8.2	8.2	39.236	354	354	0	14.528	8.2	873760	873760	1				103	161	True	165	229	361	361			-1
SO_0438	SO_0438	1	1	1	SO_0438	1	1	1	1	1	1	1	6.7	6.7	6.7	28.41	267	267	0	8.6259	6.7	0	0	1				104	1296	True	1355	2049	3776	3776			-1
SO_0441	SO_0441	1	1	1	SO_0441	1	1	1	1	1	1	1	2.1	2.1	2.1	45.538	432	432	0	5.8937	2.1	0	0	1				105	384	True	403	611	1196	1196			-1
SO_0442	SO_0442	1	1	1	SO_0442	1	1	1	1	1	1	1	1.5	1.5	1.5	58.221	543	543	0	6.3423	1.5	2660900	2660900	1				106	1254	True	1311	1988	3671	3671			-1
SO_0453	SO_0453	1	1	1	SO_0453	1	1	1	1	1	1	1	11.7	11.7	11.7	12.211	111	111	0	9.2682	11.7	1442000	1442000	2				107	564	True	591	933	1710;1711	1711			-1
SO_0456	SO_0456	1	1	1	SO_0456	1	1	1	1	1	1	1	2.5	2.5	2.5	33.532	318	318	0	6.4402	2.5	9696200	9696200	1				108	1016	True	1061	1619	3056	3056			-1
SO_0466	SO_0466	2	2	2	SO_0466	1	2	2	2	2	2	2	7.1	7.1	7.1	20.539	182	182	0	23.311	7.1	897590	897590	2				109	592;593	True;True	621;622	974;975	1792;1793	1792;1793			-1
SO_0497	SO_0497	1	1	1	SO_0497	1	1	1	1	1	1	1	1.1	1.1	1.1	73.556	653	653	0.0053333	5.6216	1.1	1737700	1737700	1				110	1278	True	1336	2019	3718	3718			-1
SO_0506	SO_0506	1	1	1	SO_0506	1	1	1	1	1	1	1	5.5	5.5	5.5	54.965	488	488	0	10.684	5.5	2885700	2885700	2				111	102	True	105	143	243;244	243			-1
SO_0514	SO_0514	1	1	1	SO_0514	1	1	1	1	1	1	1	6.6	6.6	6.6	13.467	121	121	0	6.0783	6.6	1538300	1538300	1				112	38	True	38	52;53	91;92	92			-1
SO_0541	SO_0541	2	2	2	SO_0541	1	2	2	2	2	2	2	4.6	4.6	4.6	52.697	478	478	0	11.29	4.6	432170	432170	2				113	98;1107	True;True	101;1161	134;1771	226;3289	226;3289			-1
SO_0542	SO_0542	1	1	1	SO_0542	1	1	1	1	1	1	1	4	4	4	50.69	451	451	0	9.7961	4	224040	224040	1				114	1090	True	1142	1744	3245	3245			-1
SO_0554	SO_0554	2	2	2	SO_0554	1	2	2	2	2	2	2	8	8	8	19.631	174	174	0	12.67	8	2741200	2741200	5				115	638;1285	True;True	671;1344	1049;2029	1932;1933;1934;1935;3730	1932;3730			-1
SO_0556	SO_0556	2	2	2	SO_0556	1	2	2	2	2	2	2	13.7	13.7	13.7	11.657	102	102	0	15.51	13.7	1305000	1305000	3				116	949;950	True;True	992;993	1524;1525;1526	2886;2887;2888	2886;2887			-1
SO_0559	SO_0559	1	1	1	SO_0559	1	1	1	1	1	1	1	3.3	3.3	3.3	31.657	276	276	0	6.2167	3.3	1704500	1704500	2				117	1279	True	1337;1338	2020;2021	3719;3720	3720	11	210	-1
SO_0565	SO_0565	2	2	2	SO_0565	1	2	2	2	2	2	2	6.8	6.8	6.8	31.724	293	293	0	16.926	6.8	2918500	2918500	4				118	317;1263	True;True	332;1320	469;1999;2000	854;855;3695;3696	854;3695			-1
SO_0569	SO_0569	2	2	2	SO_0569	1	2	2	2	2	2	2	7.1	7.1	7.1	36.734	324	324	0	14.644	7.1	3107700	3107700	3				119	15;920	True;True	15;963	23;1481;1482	45;2824;2825	45;2824			-1
SO_0576	SO_0576	3	3	3	SO_0576	1	3	3	3	3	3	3	9.5	9.5	9.5	52.216	464	464	0	24.342	9.5	2318000	2318000	7				120	259;732;848	True;True;True	268;767;888	374;1177;1178;1353	684;685;2150;2151;2446;2447;2448	684;2151;2446			-1
SO_0578	SO_0578	1	1	1	SO_0578	1	1	1	1	1	1	1	1.1	1.1	1.1	88.271	800	800	0	13.939	1.1	5511500	5511500	2				121	1378	True	1439	2182;2183	3995;3996	3996			-1
SO_0579	SO_0579	1	1	1	SO_0579	1	1	1	1	1	1	1	1.2	1.2	1.2	68.152	602	602	0	6.4321	1.2	163820	163820	1				122	446	True	470	751	1401	1401			-1
SO_0582	SO_0582	1	1	1	SO_0582	1	1	1	1	1	1	1	6.4	6.4	6.4	24.894	218	218	0	13.257	6.4	261320	261320	1				123	506	True	532	843	1560	1560			-1
SO_0587	SO_0587	2	2	2	SO_0587	1	2	2	2	2	2	2	11.7	11.7	11.7	26.142	240	240	0	12.424	11.7	2415600	2415600	2				124	845;1144	True;True	885;1199	1348;1816	2439;3356	2439;3356			-1
SO_0592	SO_0592	2	2	2	SO_0592	1	2	2	2	2	2	2	18.2	18.2	18.2	20.635	181	181	0	20.359	18.2	2543800	2543800	3				125	115;373	True;True	118;391	158;599	263;1180;1181	263;1180			-1
SO_0595	SO_0595	1	1	1	SO_0595	1	1	1	1	1	1	1	4.6	4.6	4.6	17.849	151	151	0	7.5778	4.6	1284300	1284300	1				126	805	True	843	1290	2330	2330			-1
SO_0600	SO_0600	1	1	1	SO_0600	1	1	1	1	1	1	1	2.2	2.2	2.2	50.352	463	463	0	6.3254	2.2	1090500	1090500	1				127	1375	True	1436	2178	3990	3990			-1
SO_0602	SO_0602	1	1	1	SO_0602	1	1	1	1	1	1	1	3.2	3.2	3.2	34.646	308	308	0	7.341	3.2	717620	717620	1				128	657	True	690	1076	2012	2012			-1
SO_0603	SO_0603	1	1	1	SO_0603	1	1	1	1	1	1	1	17.8	17.8	17.8	9.8731	90	90	0	9.104	17.8	4619200	4619200	7				129	49	True	49	69;70	124;125;126;127;128;129;130	129			-1
SO_0604	SO_0604	1	1	1	SO_0604	1	1	1	1	1	1	1	1.6	1.6	1.6	49.149	435	435	0	5.9622	1.6	922750	922750	0				130	1329	True	1388	2098	3851	3851			-1
SO_0608	SO_0608	1	1	1	SO_0608	1	1	1	1	1	1	1	4.1	4.1	4.1	20.905	196	196	0	6.6557	4.1	6209500	6209500	2				131	291	True	306	426;427	776;777	777			-1
SO_0611	SO_0611	2	2	2	SO_0611	1	2	2	2	2	2	2	11	11	11	24.081	209	209	0	18.966	11	6180600	6180600	9				132	220;432	True;True	228;453;454	317;721;722;723	586;1357;1358;1359;1360;1361;1362;1363;1364;1365	586;1365	12	76	-1
SO_0617	SO_0617	2	2	2	SO_0617	1	2	2	2	2	2	2	10.1	10.1	10.1	43.214	405	405	0	13.818	10.1	786920	786920	2				133	68;812	True;True	68;850	96;1300	161;2344	161;2344			-1
SO_0618	SO_0618	1	1	1	SO_0618	1	1	1	1	1	1	1	2.4	2.4	2.4	38.135	339	339	0	8.0653	2.4	9477900	9477900	2				134	846	True	886	1349;1350	2440;2441	2441			-1
SO_0619	SO_0619	1	1	1	SO_0619	1	1	1	1	1	1	1	1.4	1.4	1.4	51.61	487	487	0	6.3093	1.4	0	0	1				135	326	True	342	501	961	961			-1
SO_0622	SO_0622	1	1	1	SO_0622	1	1	1	1	1	1	1	5.4	5.4	5.4	25.276	224	224	0.0027027	5.6641	5.4	268910	268910	1				136	1000	True	1045	1590	3002	3002			-1
SO_0624	SO_0624	1	1	1	SO_0624	1	1	1	1	1	1	1	4.7	4.7	4.7	23.706	211	211	0	6.8657	4.7	591000	591000	1				137	402	True	422	636	1234	1234			-1
SO_0640	SO_0640	2	2	2	SO_0640	1	2	2	2	2	2	2	12.7	12.7	12.7	35.346	332	332	0	16.856	12.7	1871000	1871000	5				138	1019;1327	True;True	1064;1386	1622;2096	3059;3060;3061;3848;3849	3059;3848			-1
SO_0655	SO_0655	3	3	3	SO_0655	1	3	3	3	3	3	3	23.2	23.2	23.2	16.41	142	142	0	36.522	23.2	2118700	2118700	22				139	890;1289;1365	True;True;True	933;1348;1426	1426;1427;1428;1429;1430;1431;1432;1433;2033;2165	2699;2700;2701;2702;2703;2704;2705;2706;2707;2708;2709;2710;2711;2712;2713;2714;2715;2716;2717;2718;3735;3976	2699;3735;3976			-1
SO_0693	SO_0693	1	1	1	SO_0693	1	1	1	1	1	1	1	3.8	3.8	3.8	38.04	343	343	0	9.1305	3.8	413830	413830	2				140	597	True	626	980	1798;1799	1799			-1
SO_0703	SO_0703	2	2	2	SO_0703	1	2	2	2	2	2	2	31.2	31.2	31.2	10.213	96	96	0	15.191	31.2	48329000	48329000	173				141	849;1022	True;True	889;890;1067	1354;1355;1356;1357;1358;1359;1360;1361;1362;1363;1364;1365;1366;1367;1368;1369;1370;1371;1372;1373;1374;1375;1634;1635;1636;1637;1638;1639;1640;1641	2449;2450;2451;2452;2453;2454;2455;2456;2457;2458;2459;2460;2461;2462;2463;2464;2465;2466;2467;2468;2469;2470;2471;2472;2473;2474;2475;2476;2477;2478;2479;2480;2481;2482;2483;2484;2485;2486;2487;2488;2489;2490;2491;2492;2493;2494;2495;2496;2497;2498;2499;2500;2501;2502;2503;2504;2505;2506;2507;2508;2509;2510;2511;2512;2513;2514;2515;2516;2517;2518;2519;2520;2521;2522;2523;2524;2525;2526;2527;2528;2529;2530;2531;2532;2533;2534;2535;2536;2537;2538;2539;2540;2541;2542;2543;2544;2545;2546;2547;2548;2549;2550;2551;2552;2553;2554;2555;2556;2557;2558;2559;2560;2561;2562;2563;2564;2565;2566;2567;2568;2569;2570;2571;2572;2573;2574;2575;2576;2577;2578;2579;2580;2581;2582;2583;2584;2585;2586;2587;2588;2589;2590;2591;2592;2593;2594;2595;2596;2597;2598;2599;2600;2601;2602;2603;2604;2605;2606;2607;2608;2609;2610;2611;3080;3081;3082;3083;3084;3085;3086;3087;3088;3089	2498;3082	13	1	-1
SO_0704	SO_0704	4	4	4	SO_0704	1	4	4	4	4	4	4	11.2	11.2	11.2	57.079	545	545	0	53.083	11.2	16696000	16696000	26				142	108;354;371;842	True;True;True;True	111;372;389;882	150;151;559;560;597;1345	254;255;1048;1049;1050;1051;1052;1053;1054;1055;1056;1057;1058;1059;1060;1061;1062;1063;1064;1065;1066;1174;1175;1176;1177;2436	254;1062;1175;2436			-1
SO_0726	SO_0726	1	1	1	SO_0726	1	1	1	1	1	1	1	2	2	2	56.411	505	505	0	6.3432	2	554370	554370	1				143	455	True	480	765	1418	1418			-1
SO_0740	SO_0740	2	2	2	SO_0740	1	2	2	2	2	2	2	5.1	5.1	5.1	35.76	311	311	0	15.755	5.1	15317000	15317000	4				144	267;1354	True;True	276;1414	383;384;2137	696;697;3925;3926	697;3926			-1
SO_0741	SO_0741	1	1	1	SO_0741	1	1	1	1	1	1	1	1.6	1.6	1.6	61.527	570	570	0.005284	5.5389	1.6	1574500	1574500	1				145	556	True	583	924	1698	1698			-1
SO_0749	SO_0749	2	2	2	SO_0749	1	2	2	2	2	2	2	16.8	16.8	16.8	21.313	197	197	0	22.65	16.8	1237700	1237700	3				146	381;1070	True;True	399;1120	607;1719	1191;1192;3207	1191;3207			-1
SO_0755	SO_0755	1	1	1	SO_0755	1	1	1	1	1	1	1	24.1	24.1	24.1	6.5376	58	58	0	6.5717	24.1	377470	377470	0				147	331	True	347	508	971	971			-1
SO_0756	SO_0756	1	1	1	SO_0756	1	1	1	1	1	1	1	2.6	2.6	2.6	39.022	352	352	0	7.9501	2.6	126810	126810	1				148	869	True	912	1400	2651	2651			-1
SO_0762	SO_0762	1	1	1	SO_0762	1	1	1	1	1	1	1	13.3	13.3	13.3	20.216	180	180	0	9.5686	13.3	1875900	1875900	3				149	249	True	258	359	642;643;644	643			-1
SO_0770	SO_0770	5	5	5	SO_0770	1	5	5	5	5	5	5	25.7	25.7	25.7	32.137	311	311	0	64.495	25.7	17162000	17162000	17				150	85;86;690;791;1239	True;True;True;True;True	87;88;89;725;829;1296	116;117;118;1125;1274;1959	193;194;195;196;197;198;199;200;201;2088;2306;2307;2308;2309;2310;2311;2312;3627	194;199;2088;2311;3627			-1
SO_0779	SO_0779	1	1	1	SO_0779	1	1	1	1	1	1	1	6	6	6	39.624	364	364	0	6.8477	6	357210	357210	1				151	0	True	0	0	0	0			-1
SO_0780	SO_0780	1	1	1	SO_0780	1	1	1	1	1	1	1	6.2	6.2	6.2	13.992	129	129	0	6.069	6.2	0	0	1				152	1133	True	1188	1801	3335	3335			-1
SO_0781	SO_0781	5	5	5	SO_0781	1	5	5	5	5	5	5	7.9	7.9	7.9	104.67	962	962	0	53.949	7.9	28346000	28346000	19				153	184;574;1157;1173;1206	True;True;True;True;True	190;191;601;1212;1229;1263	261;262;263;946;1831;1864;1906;1907	418;419;420;421;422;423;1734;1735;1736;1737;1738;1739;1740;3380;3442;3520;3521;3522;3523	422;1734;3380;3442;3523	14	277	-1
SO_0783	SO_0783	4	4	4	SO_0783	1	4	4	4	4	4	4	8.6	8.6	8.6	76.545	662	662	0	76.528	8.6	12675000	12675000	9				154	126;516;900;910	True;True;True;True	130;542;943;953	173;174;854;855;1449;1464;1465	280;281;282;1574;1575;2759;2789;2790;2791	282;1575;2759;2791			-1
SO_0788	SO_0788	1	1	1	SO_0788	1	1	1	1	1	1	1	12.3	12.3	12.3	9.1473	81	81	0	10.706	12.3	10706000	10706000	4				155	1001	True	1046	1591;1592;1593	3003;3004;3005;3006	3004			-1
SO_0795	SO_0795	1	1	1	SO_0795	1	1	1	1	1	1	1	1.6	1.6	1.6	82.476	732	732	0	5.9464	1.6	2343900	2343900	2				156	889	True	932	1425	2697;2698	2697			-1
SO_0804	SO_0804	1	1	1	SO_0804	1	1	1	1	1	1	1	5	5	5	22.953	201	201	0.0013736	5.7866	5	1053600	1053600	1				157	197	True	204	291	528	528			-1
SO_0805	SO_0805	1	1	1	SO_0805	1	1	1	1	1	1	1	8.5	8.5	8.5	15.502	141	141	0	15.31	8.5	337630	337630	2				158	588	True	616	965;966	1779;1780	1779			-1
SO_0811	SO_0811	1	1	1	SO_0811	1	1	1	1	1	1	1	5.7	5.7	5.7	34.346	318	318	0	9.3503	5.7	775130	775130	1				159	1381	True	1442	2186	4000	4000			-1
SO_0816	SO_0816	2	2	2	SO_0816	1	2	2	2	2	2	2	8.7	8.7	8.7	27.1	242	242	0	15.112	8.7	1519600	1519600	2				160	967;1353	True;True	1010;1413	1546;2136	2913;3924	2913;3924			-1
SO_0818	SO_0818	9	9	9	SO_0818	1	9	9	9	9	9	9	14.1	14.1	14.1	84.993	760	760	0	146.99	14.1	25145000	25145000	19				161	8;57;91;314;670;768;860;963;1382	True;True;True;True;True;True;True;True;True	8;57;94;329;705;805;903;1006;1443	8;82;124;466;1101;1102;1244;1391;1542;2187	10;11;146;147;207;850;851;2056;2057;2058;2059;2060;2262;2639;2904;4001;4002;4003;4004	10;146;207;850;2060;2262;2639;2904;4001	15	556	-1
SO_3753;SO_0819	SO_3753;SO_0819	1;1	1;1	1;1	SO_3753;SO_0819	2	1	1	1	1	1	1	3.1	3.1	3.1	36.255	318	318;318	0	7.3385	3.1	0	0	1				162	1119	True	1173	1785	3313	3313			-1;-1
SO_0830	SO_0830	1	1	1	SO_0830	1	1	1	1	1	1	1	1.8	1.8	1.8	48.544	454	454	0	10.313	1.8	5833800	5833800	3				163	577	True	604	950	1747;1748;1749	1748			-1
SO_0837	SO_0837	1	1	1	SO_0837	1	1	1	1	1	1	1	3.8	3.8	3.8	30.279	265	265	0	6.2856	3.8	3208500	3208500	2				164	957	True	1000	1535;1536	2897;2898	2898			-1
SO_0840	SO_0840	2	2	2	SO_0840	1	2	2	2	2	2	2	1	1	1	167.62	1517	1517	0	12.922	1	551950	551950	1				165	616;751	True;True	647;787	1017;1204	1861;2193	1861;2193			-1
SO_0842	SO_0842	6	6	6	SO_0842	1	6	6	6	6	6	6	11.9	11.9	11.9	76.662	697	697	0	60.841	11.9	13371000	13371000	22				166	153;615;729;964;997;1266	True;True;True;True;True;True	157;646;764;1007;1041;1042;1323;1324	208;1016;1170;1171;1172;1173;1543;1583;1584;1585;2004;2005	325;1859;1860;2141;2142;2143;2144;2145;2905;2906;2907;2908;2909;2986;2987;2988;2989;2990;2991;2992;3700;3701	325;1859;2142;2907;2989;3701	16;17	626;648	-1
SO_0860	SO_0860	1	1	1	SO_0860	1	1	1	1	1	1	1	3.3	3.3	3.3	37.897	338	338	0	8.6199	3.3	1076700	1076700	2				167	1275	True	1333	2016	3713;3714	3714			-1
SO_0862	SO_0862	3	3	3	SO_0862	1	3	3	3	3	3	3	9	9	9	44.313	409	409	0	26.74	9	18457000	18457000	6				168	534;1142;1154	True;True;True	561;1197;1209	896;1812;1813;1828	1658;1659;1660;3352;3353;3376	1658;3352;3376			-1
SO_0870	SO_0870	1	1	1	SO_0870	1	1	1	1	1	1	1	3.8	3.8	3.8	28.208	264	264	0	11.893	3.8	3524200	3524200	3				169	1121	True	1175	1787;1788	3315;3316;3317	3317			-1
SO_0872	SO_0872	1	1	1	SO_0872	1	1	1	1	1	1	1	1.7	1.7	1.7	54.178	478	478	0	7.4617	1.7	4335800	4335800	3				170	676	True	711	1109;1110	2068;2069;2070	2070			-1
SO_0878	SO_0878	1	1	1	SO_0878	1	1	1	1	1	1	1	2.4	2.4	2.4	33.219	295	295	0.0077922	5.4947	2.4	3504400	3504400	1				171	1185	True	1242	1881	3473	3473			-1
SO_0884	SO_0884	1	1	1	SO_0884	1	1	1	1	1	1	1	4.6	4.6	4.6	17.627	153	153	0.007762	5.4787	4.6	0	0	1				172	211	True	218	306	544	544			-1
SO_0887	SO_0887	1	1	1	SO_0887	1	1	1	1	1	1	1	3.8	3.8	3.8	40.794	370	370	0	10.29	3.8	5650400	5650400	2				173	675	True	710	1108	2066;2067	2066			-1
SO_0888	SO_0888	2	2	2	SO_0888	1	2	2	2	2	2	2	6.3	6.3	6.3	60.995	568	568	0	15.855	6.3	1194600	1194600	3				174	379;434	True;True	397;456	605;725	1188;1189;1367	1189;1367	18	519	-1
SO_0900	SO_0900	1	1	1	SO_0900	1	1	1	1	1	1	1	3.2	3.2	3.2	39.132	346	346	0	15.514	3.2	2210500	2210500	5				175	1011	True	1056	1610;1611;1612	3039;3040;3041;3042;3043	3039			-1
SO_0918	SO_0918	1	1	1	SO_0918	1	1	1	1	1	1	1	0.9	0.9	0.9	92.308	855	855	0	7.6115	0.9	349200	349200	1				176	1101	True	1155	1763	3273	3273			-1
SO_0929	SO_0929	2	2	2	SO_0929	1	2	2	2	2	2	2	8.4	8.4	8.4	41.379	383	383	0	15.331	8.4	1641700	1641700	9				177	926;942	True;True	969;985	1489;1509	2833;2834;2859;2860;2861;2862;2863;2864;2865	2833;2864			-1
SO_0930	SO_0930	4	4	4	SO_0930	1	4	4	4	4	4	4	8.6	8.6	8.6	71.615	664	664	0	35.019	8.6	14974000	14974000	11				178	94;363;368;655	True;True;True;True	97;381;386;688	127;128;129;583;594;1074	211;212;213;214;215;1128;1168;2007;2008;2009;2010	211;1128;1168;2008			-1
SO_0932	SO_0932	2	2	2	SO_0932	1	2	2	2	2	2	2	6.9	6.9	6.9	40.598	391	391	0	17.013	6.9	825990	825990	2				179	63;1004	True;True	63;1049	91;1597	156;3019	156;3019			-1
SO_0933	SO_0933	4	4	4	SO_0933	1	4	4	4	4	4	4	14.9	14.9	14.9	38.51	355	355	0	38.187	14.9	47379000	47379000	18				180	440;464;668;1357	True;True;True;True	462;463;489;703;1417	734;735;736;737;778;779;1099;2153;2154	1377;1378;1379;1380;1381;1382;1435;1436;1437;1438;1439;1440;1441;2052;2053;3959;3960;3961	1380;1441;2052;3960	19	340	-1
SO_0947	SO_0947	1	1	1	SO_0947	1	1	1	1	1	1	1	4	4	4	46.809	420	420	0	7.0336	4	230490	230490	1				181	1169	True	1224	1858	3429	3429			-1
SO_0951	SO_0951	1	1	1	SO_0951	1	1	1	1	1	1	1	4.6	4.6	4.6	26.234	241	241	0.0013624	5.7574	4.6	0	0	1				182	557	True	584	925	1699	1699			-1
SO_0968	SO_0968	1	1	1	SO_0968	1	1	1	1	1	1	1	8.8	8.8	8.8	36.205	329	329	0	10.034	8.8	582980	582980	1				183	700	True	735	1136	2101	2101			-1
SO_0970	SO_0970	2	2	2	SO_0970	1	2	2	2	2	2	2	6.7	6.7	6.7	62.447	596	596	0	12.907	6.7	1219800	1219800	12				184	39;162	True;True	39;166	54;230	93;94;95;96;97;98;99;100;362;363;364;365	95;364			-1
SO_0992	SO_0992	4	4	4	SO_0992	1	4	4	4	4	4	4	10.8	10.8	10.8	57.059	500	500	0	37.765	10.8	12772000	12772000	17				185	80;807;923;1122	True;True;True;True	82;845;966;1176	110;111;1293;1294;1485;1486;1789	179;180;181;182;183;184;185;186;2334;2335;2336;2829;2830;3318;3319;3320;3321	181;2336;2829;3320			-1
SO_1004	SO_1004	1	1	1	SO_1004	1	1	1	1	1	1	1	1.2	1.2	1.2	85.808	756	756	0	7.8013	1.2	395250	395250	1				186	1343	True	1402	2123	3909	3909			-1
SO_1006	SO_1006	1	1	1	SO_1006	1	1	1	1	1	1	1	3.8	3.8	3.8	34.974	320	320	0	9.2632	3.8	2164400	2164400	3				187	501	True	527	837	1550;1551;1552	1550			-1
SO_1016	SO_1016	1	1	1	SO_1016	1	1	1	1	1	1	1	1.2	1.2	1.2	100.08	909	909	0	6.9112	1.2	11397000	11397000	3				188	601	True	630	984;985	1804;1805;1806	1806			-1
SO_1019	SO_1019	1	1	1	SO_1019	1	1	1	1	1	1	1	1.2	1.2	1.2	68.855	601	601	0.005305	5.5537	1.2	1374200	1374200	1				189	829	True	867	1323	2381	2381			-1
SO_1035	SO_1035	1	1	1	SO_1035	1	1	1	1	1	1	1	5.4	5.4	5.4	36.784	350	350	0	6.8298	5.4	283830	283830	1				190	1194	True	1251	1891	3501	3501	20	37	-1
SO_1051	SO_1051	1	1	1	SO_1051	1	1	1	1	1	1	1	1.5	1.5	1.5	61.244	540	540	0	6.2868	1.5	189000	189000	1				191	1269	True	1327	2008	3704	3704			-1
SO_1056	SO_1056	1	1	1	SO_1056	1	1	1	1	1	1	1	1.1	1.1	1.1	68.576	630	630	0.0026991	5.6633	1.1	174160	174160	1				192	711	True	746	1148	2117	2117			-1
SO_1060	SO_1060	1	1	1	SO_1060	1	1	1	1	1	1	1	13.9	13.9	13.9	22.574	201	201	0	7.3044	13.9	912500	912500	2				193	865	True	908	1396	2646;2647	2646			-1
SO_1062	SO_1062	1	1	1	SO_1062	1	1	1	1	1	1	1	6.6	6.6	6.6	20.324	181	181	0	7.0698	6.6	2310900	2310900	1				194	242	True	250	349	629	629			-1
SO_1065	SO_1065	2	2	2	SO_1065	1	2	2	2	2	2	2	7.1	7.1	7.1	27.701	255	255	0	14.629	7.1	2648400	2648400	4				195	995;1377	True;True	1039;1438	1580;1581;2181	2982;2983;3993;3994	2982;3993			-1
SO_1075	SO_1075	2	2	2	SO_1075	1	2	2	2	2	2	2	7	7	7	80.675	718	718	0	17.018	7	983770	983770	3				196	139;1304	True;True	143;1363	193;2060	309;3797;3798	309;3798			-1
SO_1077	SO_1077	1	1	1	SO_1077	1	1	1	1	1	1	1	4.6	4.6	4.6	34.517	304	304	0	6.2078	4.6	556120	556120	1				197	282	True	295	412	747	747			-1
SO_1095	SO_1095	5	5	5	SO_1095	1	5	5	5	5	5	5	20.7	20.7	20.7	45.997	430	430	0	64.056	20.7	23286000	23286000	33				198	109;233;838;913;1021	True;True;True;True;True	112;241;876;877;956;1066	152;331;332;1332;1333;1334;1469;1470;1471;1472;1473;1628;1629;1630;1631;1632;1633	256;257;603;604;605;2393;2394;2395;2396;2397;2398;2399;2400;2401;2402;2403;2404;2405;2796;2797;2798;2799;2800;2801;2802;2803;2804;2805;2806;2807;3073;3074;3075;3076;3077;3078;3079	256;604;2400;2798;3073	21	1	-1
SO_1101	SO_1101	2	2	2	SO_1101	1	2	2	2	2	2	2	13.6	13.6	13.6	18.874	169	169	0	17.692	13.6	2540100	2540100	2				199	783;1181	True;True	820;1237	1265;1875	2296;3462	2296;3462			-1
SO_1103	SO_1103	1	1	1	SO_1103	1	1	1	1	1	1	1	2.3	2.3	2.3	47.8	444	444	0	7.9829	2.3	4678100	4678100	2				200	16	True	16	24;25	46;47	47			-1
